id,versions,displayName,abbreviation
1,"[{'id': 68, 'md5': '811b027eaf99c2def7b933c5208636de', 'sha1': 'ea343f4e445a9050d4b4fbac2c77d0693b1d0922', 'name': 'Super Mario Bros. (W) [!].nes', 'type': 1, 'region': 'W', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 280, 'md5': '673913a23cd612daf5ad32d4085e0760', 'sha1': 'ab30029efec6ccfc5d65dfda7fbc6e6489a80805', 'name': 'Super Mario Bros. (E) (REVA) [!].nes', 'type': 1, 'region': 'E', 'version': 'REVA', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 622, 'md5': 'fc182e5aefbce14d4e82c79491fae237', 'sha1': '91fa719b4b05adbac0b9d507d2051ed361d1ded4', 'name': 'VS Super Mario Bros (VS) [a1].nes', 'type': 1, 'region': 'UE', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 639, 'md5': '14c3e97b5502c76deaf159d691d6082a', 'sha1': '2e5e7b9610aa549063a3d6be3ed5a8798be339de', 'name': 'Super Mario Bros (JU) [p1][patched].nes', 'type': 2, 'region': 'JU', 'version': '(Unapproved Graphics Hack)', 'systemCode': 'NES', 'sourceDb': None}, {'id': 743, 'md5': '39d8cfa788e20b6c7b62c9c07ee80f65', 'sha1': 'b21aa940728ed80c72ee23c251c96e42cc84b2d6', 'name': 'VS. Super Mario Bros. (VS).nes', 'type': 1, 'region': 'UE', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 2922, 'md5': '28df158b8b4f129d1070e47557c68d9b', 'sha1': '41cf327605ccc7b65f1891427abe4f64218354a1', 'name': 'Super Mario Bros. (1985)(Nintendo).fds', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'FDS', 'sourceDb': None}, {'id': 4568, 'md5': '1306a0286248a0851005464d7ec8d785', 'sha1': '663ddef71cc808c5382a3426ef6d03b5499a51c8', 'name': 'Super Mario Bros. + Duck Hunt (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4650, 'md5': '293303fe565de2333bc1e4115d38fa3f', 'sha1': '383ad8e3890a95de9595f0a6087648f51177da13', 'name': 'Super Mario Bros. (Japan).fds', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'FDS', 'sourceDb': None}, {'id': 4651, 'md5': '2041ef14c3d0f86b62e424f28bf6db2a', 'sha1': '2f939eca208f1f15addb560c9f72eb01a2951b7f', 'name': 'Super Mario Bros. + Duck Hunt + World Class Track Meet (U) (PRG0) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4652, 'md5': '94ede9347c1416105f1c08ec26b5b73a', 'sha1': 'b1952f6ee88775ce4baec034a04e145afb4930df', 'name': 'Super Mario Bros. (W) [b1].nes', 'type': 3, 'region': 'W', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4653, 'md5': '87f93e3f88563bcf4355ef1384a00521', 'sha1': '92e9c4f35d90a45407de4017353fd07b27004c03', 'name': 'Super Mario Bros. + Duck Hunt + World Class Track Meet (U) (PRG1) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG1/Rev 1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4655, 'md5': 'b39beeb6148f9c5dc0ae441195abd94b', 'sha1': '6fd00a7889cea3afc67157638a3ee766cd925aaa', 'name': 'Super Mario Bros. (W) [p1][b4].nes', 'type': 3, 'region': 'W', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4656, 'md5': 'fbc61a063eb2ccac37cdbf46ab80b2d2', 'sha1': '256193fd83ef1369b9c4d106a049f1111857c157', 'name': 'Super Mario Bros. (W) [p1][o1].nes', 'type': 3, 'region': 'W', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4977, 'md5': 'd8cab9c1047825dc9c579a795d183a33', 'sha1': '14f024348c2a1c68176f2f8a4c2f129461934b84', 'name': 'Super Mario R. by DahrkDaiz (SMB1 Hack).nes', 'type': 2, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Super Mario Bros.,smb
2,"[{'id': 2372, 'md5': '71576D8339BD63198FCFC51A92016D58', 'sha1': '7DF0F595B074F587C6A1D8F47E031F045D540DAE', 'name': 'Super Mario Bros. 2 (U) (PRG0) [!]', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Super Mario Bros. 2 (U),smb2u
5,"[{'id': 146, 'md5': '097F3EB5211E106A5EA6EC43E0C439DE', 'sha1': '18102689FD35C7D531A5E6241B06B748ACCAB2F6', 'name': ""Solomon's Key (U) [!]"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 3808, 'md5': '56c1691a84ea18f19fde45a92a404190', 'sha1': '89ab8f53154c9dcddafe46c16b31df7e00fe2538', 'name': ""Solomon's Key (E) [!]"", 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 3809, 'md5': '039faa188dd411e81466d5922787c58f', 'sha1': '71d073d0e9e9be84a02db3f78d962c9d94ceea05', 'name': 'Solomon no Kagi (J) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Solomon's Key,solokey
6,"[{'id': 1162, 'md5': '50341185CAE666E292C39192140A6338', 'sha1': '22C99336AB8B9D3C1FA57E981766BC38CDB8FD6E', 'name': 'Makaimura (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4093, 'md5': '6DD3872FFF67B4F324A740AA87AC2B93', 'sha1': '8DE81D363E11CECB570A9D18237F7B56B2B659DB', 'name': ""Ghosts 'N Goblins (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ghosts 'n Goblins,ghostsngoblins
7,"[{'id': 2254, 'md5': '52EB3F7E2C5FC765AA71F21C85F0770E', 'sha1': '7A20C44F302FB2F1B7ADFFA6B619E3E1CAE7B546', 'name': 'Castlevania (U) (PRG1) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}, {'id': 3682, 'md5': '00D93C9F6B8AEFB8B6C02B20147DF4EC', 'sha1': 'A31B8BD5B370A9103343C866F3C2B2998E889341', 'name': 'Castlevania (U) (PRG0) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}, {'id': 4842, 'md5': '1E1E452A83B23701119C70770CEA10C9', 'sha1': '6864F4D6E8D151A4E7F2D6CAD72882887561B6D7', 'name': 'Castlevania (KC).nes', 'type': 1, 'region': 'U', 'version': ""Konami Collector's Series"", 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Castlevania,cv
8,"[{'id': 1067, 'md5': '569678099D6D17C1DA174DAD04F78C71', 'sha1': 'DA48C842BC44DEF1C0EB2549941C6ADC65D6C379', 'name': 'Dracula II - Noroi no Fuuin', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'FDS', 'sourceDb': None}, {'id': 2008, 'md5': '1B827C602C904D8C846499C9F54B93E0', 'sha1': 'D6B96FD98AE480C694A103FE9A5D7D84EEAFB6F7', 'name': ""Castlevania II - Simon's Quest (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}, {'id': 5060, 'md5': 'dc4d9c97760551bf48e40efd43b9167c', 'sha1': '609129abf15cab23f456eb51009b8e592528299f', 'name': ""Castlevania II - Simon's Quest (E) [!].nes"", 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.21'}]",Castlevania II: Simon's Quest,cv2
9,"[{'id': 427, 'md5': '8824842070A569E9BA7287BCDEA045A3', 'sha1': '5914D409EA027A96C2BB58F5136C5E7E9B2E8300', 'name': 'Rockman (Japan) (En).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 637, 'md5': '8D5A61F42D92EE61D05083263A11FCA1', 'sha1': 'EA93F3F2FD561C1CEE59AD51CFCB10F3DD83766F', 'name': 'Rockman (J) (En).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 2788, 'md5': '4D4FFDFE7979B5F06DEC2CF3563440AD', 'sha1': '2F88381557339A14C20428455F6991C1EB902C99', 'name': 'Mega Man (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 2789, 'md5': 'CC513C22115D95691656270930E7963B', 'sha1': '0FE255649359ECE8CB64B6F24ACAF09F17AF746C', 'name': 'Mega Man (Europe).nes', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Mega Man,mm
10,"[{'id': 491, 'md5': '055FB8DC626FB1FBADC0A193010A3E3F', 'sha1': 'FB51875D1FF4B0DEEE97E967E6434FF514F3C2F2', 'name': 'Rockman 2 - Dr. Wily no Nazo (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 5144, 'md5': '8E4BC5B03FFBD4EF91400E92E50DD294', 'sha1': '2290D8D839A303219E9327EA1451C5EEA430F53D', 'name': 'Megaman II (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Mega Man 2,mm2
11,"[{'id': 1358, 'md5': 'DEBA90BE1E4D7A564F2AFF2BB57F939C', 'sha1': '5B3FE6C6AAD22DBB82419A9A2B8D082260DBA19E', 'name': 'Youkai Douchuuki', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Youkai Douchuuki,youkdouc
12,"[{'id': 74, 'md5': '337BD6F1A1163DF31BF2633665589AB0', 'sha1': 'DAB79C84934F9AA5DB4E7DAD390E5D0C12443FA2', 'name': 'Legend of Zelda, The (USA).nes [PRG0/Rev 0]', 'type': 1, 'region': 'U', 'version': 'Rev 0', 'systemCode': 'NES', 'sourceDb': None}, {'id': 3822, 'md5': 'F4095791987351BE68674A9355B266BC', 'sha1': '3701381A82FC7D52B2DD3E8892047B30A114AB43', 'name': 'Legend of Zelda, The (USA) (Rev 1).nes [PRG1]', 'type': 1, 'region': 'U', 'version': 'Rev 1', 'systemCode': 'NES', 'sourceDb': None}, {'id': 3942, 'md5': '5C0785479D5149F18F77D23DDBA1DF41', 'sha1': '135AC9CBDF3983AA77D7581B26D685D02615D36A', 'name': 'Zelda no Densetsu - The Hyrule Fantasy (Japan).fds', 'type': 1, 'region': 'J', 'version': 'Rev 0', 'systemCode': 'FDS', 'sourceDb': None}]",The Legend of Zelda,loz
